angle,Velocidade,Tempo
311,-40.07,280.00
53,53.00,53.00
53,53.00,53.00
321,-40.09,28.06
321,-40.09,28.06
321,-40.09,20.00
321,-40.09,20.00
321,-40.09,20.00
321,-40.09,20.00
321,-40.09,280.00
321,-40.09,280.00
70,70.00,70.00
70,70.00,70.00
0,0.00,0.00
0,0.00,0.00
13,-38.29,28.77
13,-38.29,28.77
19,-37.92,28.81
19,-37.92,28.81
26,-39.34,28.84
26,-39.34,28.84
38,-38.70,28.87
38,-38.70,28.87
45,-37.85,28.91
45,-37.85,28.91
48,-36.96,28.94
48,-36.96,28.94
60,-40.75,28.98
60,-40.75,28.98
70,-40.40,29.01
70,-40.40,29.01
70,-40.40,29.01
0,0.00,0.00
0,0.00,0.00
85,-40.32,29.08
85,-40.32,29.08
93,-41.70,29.11
93,-41.70,29.11
106,-40.12,29.15
106,-40.12,29.15
113,-41.45,29.18
113,-41.45,29.18
121,-41.52,29.22
121,-41.52,29.22
131,-41.45,29.25
131,-41.45,29.25
136,-39.96,29.28
136,-39.96,29.28
146,-40.35,29.32
146,-40.35,29.32
158,-40.76,29.35
158,-40.76,29.35
165,-39.16,29.39
165,-39.16,29.39
168,-39.81,29.42
168,-39.81,29.42
179,-40.86,29.46
179,-40.86,29.46
189,-40.14,29.50
189,-40.14,29.50
195,-40.54,29.53
195,-40.54,29.53
195,-40.54,29.57
195,-40.54,29.57
214,-39.45,29.60
214,-39.45,29.60
221,-38.25,29.64
221,-38.25,29.64
230,-39.55,29.67
230,-39.55,29.67
238,-39.33,29.70
238,-39.33,29.70
245,-40.26,209.74
245,-40.26,209.74
0,0.77,0.77
0,0.77,0.77
257,-40.68,29.81
257,-40.68,29.81
257,-40.68,29.84
257,-40.68,29.84
282,-39.58,29.88
282,-39.58,29.88
290,-41.56,29.92
290,-41.56,29.92
298,-42.48,29.95
298,-42.48,29.95
306,-42.08,29.99
306,-42.08,29.99
318,-40.51,30.02
318,-40.51,30.02
325,-39.87,30.06
325,-39.87,30.06
335,-40.17,30.09
335,-40.17,30.09
342,-39.75,30.12
342,-39.75,30.12
349,-38.92,30.16
349,-38.92,30.16
0,-38.56,30.19
0,-38.56,30.19
7,-40.86,30.23
7,-40.86,30.23
14,-40.92,30.26
14,-40.92,30.26
21,-40.45,30.30
21,-40.45,30.30
31,-40.06,30.33
31,-40.06,30.33
38,-38.76,30.36
38,-38.76,30.36
43,-42.60,30.40
43,-42.60,30.40
46,-41.58,30.43
46,-41.58,30.43
58,-40.33,30.47
58,-40.33,30.47
68,-40.16,30.50
68,-40.16,30.50
76,-41.24,30.53
76,-41.24,30.53
90,-41.75,30.57
90,-41.75,30.57
90,-41.75,30.57
0,0.00,0.00
0,0.00,0.00
105,-39.90,30.64
105,-39.90,30.64
118,-43.20,30.67
118,-43.20,30.67
124,-42.97,30.70
124,-42.97,30.70
136,-40.46,30.74
136,-40.46,30.74
144,-41.78,30.77
144,-41.78,30.77
154,-42.81,30.81
154,-42.81,30.81
154,-42.81,30.84
154,-42.81,30.84
171,-40.89,30.88
171,-40.89,30.88
178,-40.52,30.92
178,-40.52,30.92
183,-40.44,30.95
